name,date,bytes,isdir,datenum,Folder,path,Tm,Tn,PC1,PC2
0d4a806c40fa5cdc2878891f3c670a0613e8e904.jpg,4/11/16 19:22,109196,FALSE,736431.8072,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0d4a806c40fa5cdc2878891f3c670a0613e8e904.jpg,895,947,17.2064,1.4859
0d617c2d384f09670282fd2fad8f183fcc09881d.jpg,4/11/16 19:22,104455,FALSE,736431.8072,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0d617c2d384f09670282fd2fad8f183fcc09881d.jpg,497,947,-7.0273,-0.3004
0d73fc55cc0bb1ff179f8b9d6b5ac19e2a49c66a.jpg,4/11/16 19:22,145767,FALSE,736431.8076,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0d73fc55cc0bb1ff179f8b9d6b5ac19e2a49c66a.jpg,849,947,-12.7199,-0.42095
0d8aaaf4f2df2224835dad2615506f793bd64e06.jpg,4/11/16 19:23,263143,FALSE,736431.8082,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0d8aaaf4f2df2224835dad2615506f793bd64e06.jpg,1689,947,-8.8763,-0.34337
0e29c1e316b2a82b523a468f43d52f5d7b3f4848.jpg,4/11/16 19:23,168750,FALSE,736431.808,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0e29c1e316b2a82b523a468f43d52f5d7b3f4848.jpg,1043,947,-11.4727,-0.13791
0e65b6944979148d8097d7b8dcb26d60aa9e3294.jpg,4/11/16 19:22,55503,FALSE,736431.8075,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0e65b6944979148d8097d7b8dcb26d60aa9e3294.jpg,755,947,-7.5784,-1.3191
0e6ca6b7bd6796f037d4cc9fb07c79007c64dbab.jpg,4/11/16 19:22,103684,FALSE,736431.8075,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0e6ca6b7bd6796f037d4cc9fb07c79007c64dbab.jpg,517,947,-12.6169,-0.43926
0e7023e0de9be4a41968fb4aa19c3e101a332e83.jpg,4/11/16 19:23,154226,FALSE,736431.8077,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0e7023e0de9be4a41968fb4aa19c3e101a332e83.jpg,675,947,-6.8831,0.31349
0e7b00d7afbf8f7227373b396b0616bb4ef3410d.jpg,4/11/16 19:22,191337,FALSE,736431.8075,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0e7b00d7afbf8f7227373b396b0616bb4ef3410d.jpg,1021,947,-8.9481,1.2609
0e7d3e70ae555a62b2f33ad0b71a7743a3c677fe.jpg,4/11/16 19:22,211454,FALSE,736431.8074,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0e7d3e70ae555a62b2f33ad0b71a7743a3c677fe.jpg,1165,947,20.8968,0.30304
